,13063,91.26,333.72,206.78,11357.75,478.55,-2813.73,4.99,1534.46,2854.14,95,0.55,-4.96
,13158,91.51,337.76,206.78,11355.45,565.12,-2852.75,4.26,1629.39,2908.18,95,0.26,4.25
,13253,91.66,337.03,206.78,11352.83,652.78,-2889.25,0.78,1724.35,2962.07,95,0.16,-0.77
,13348,91.51,338.63,209.48,11350.2,740.72,-2925.08,1.69,1819.3,3017.41,95,-0.16,1.68
,13442,91.54,336.61,209.48,11347.7,827.61,-2960.86,2.15,1913.26,3074.35,94,0.03,-2.15
,13537,91.48,337.95,209.48,11345.19,915.2,-2997.54,1.41,2008.23,3134.14,95,-0.06,1.41
,13632,91.54,337.3,214.89,11342.69,1003.02,-3033.69,0.69,2103.19,3195.2,95,0.06,-0.68
,13727,91.54,337.68,214.89,11340.14,1090.75,-3070.04,0.4,2198.15,3258.05,95,0,0.4
,13822,91.42,336.86,212.19,11337.68,1178.34,-3106.74,0.87,2293.12,3322.7,95,-0.13,-0.86
,13917,90.77,336.92,212.19,11335.87,1265.7,-3144.02,0.69,2388.1,3389.23,95,-0.68,0.06
,14011,90.74,333.1,212.19,11334.63,1350.88,-3183.72,4.06,2482.01,3458.46,94,-0.03,-4.06
,14106,90.8,333.73,217.59,11333.35,1435.83,-3226.23,0.67,2576.8,3531.31,95,0.06,0.66
,14201,90.65,339.41,217.59,11332.15,1522.95,-3263.99,5.98,2671.75,3601.8,95,-0.16,5.98
,14296,90.55,341.8,217.59,11331.15,1612.55,-3295.53,2.52,2766.56,3668.9,95,-0.11,2.52
,14391,90.68,337.41,217.59,11330.13,1701.57,-3328.63,4.62,2861.45,3738.33,95,0.14,-4.62
,14486,90.77,336.11,217.59,11328.93,1788.85,-3366.11,1.37,2956.44,3811.91,95,0.09,-1.37
,14581,90.83,338.69,217.59,11327.6,1876.54,-3402.61,2.72,3051.42,3885.76,95,0.06,2.72
,14675,90.77,339.52,217.59,11326.29,1964.35,-3436.13,0.89,3145.35,3957.99,94,-0.06,0.88
,14770,90.77,339.58,220.3,11325.01,2053.35,-3469.32,0.06,3240.26,4031.43,95,0,0.06
,14865,90.74,340.6,220.3,11323.76,2142.66,-3501.67,1.07,3335.12,4105.2,95,-0.03,1.07
,14960,90.83,333.15,220.3,11322.46,2229.96,-3538.95,7.84,3430.04,4182.93,95,0.09,-7.84
,15055,90.8,339.41,223,11321.11,2316.88,-3577.14,6.59,3524.98,4261.91,95,-0.03,6.59
,15150,90.8,345.86,223,11319.78,2407.5,-3605.48,6.79,3619.48,4335.38,95,0,6.79
,15245,90.8,341.43,220.3,11318.45,2498.62,-3632.22,4.66,3713.83,4408.64,95,0,-4.66
,15339,90.74,333.91,279.77,11317.19,2585.5,-3667.9,8,3807.75,4487.58,94,-0.06,-8
,15434,90.8,335.41,223,11315.91,2671.35,-3708.56,1.58,3902.65,4570.51,95,0.06,1.58
,15529,90.8,337.22,223,11314.58,2758.34,-3746.71,1.91,3997.63,4652.56,95,0,1.91
,15624,90.74,337.16,225.7,11313.31,2845.9,-3783.54,0.09,4092.62,4734.38,95,-0.06,-0.06
,15719,90.74,336.7,225.7,11312.08,2933.3,-3820.76,0.48,4187.61,4816.89,95,0,-0.48
,15814,90.71,335.89,225.7,11310.88,3020.27,-3858.95,0.85,4282.6,4900.36,95,-0.03,-0.85
,15909,92.03,336.56,225.7,11308.61,3107.18,-3897.24,1.56,4377.55,4984.28,95,1.39,0.71
,16004,92.49,335.78,225.7,11304.86,3194.02,-3935.59,0.95,4472.47,5068.59,95,0.48,-0.82
,16099,92.56,335.31,85.14,11300.67,3280.41,-3974.88,0.5,4567.34,5153.71,95,0.07,-0.49
,16194,92.53,335.29,225.7,11296.46,3366.63,-4014.54,0.04,4662.19,5239.35,95,-0.03,-0.02
,16288,91.94,335.11,228.41,11292.79,3451.9,-4053.94,0.66,4756.07,5324.47,94,-0.63,-0.19
,16383,91.94,335.63,282.47,11289.57,3538.2,-4093.51,0.55,4850.97,5410.7,95,0,0.55
,16478,91.97,335.38,233.81,11286.33,3624.6,-4132.87,0.26,4945.88,5497.13,95,0.03,-0.26
,16573,91.2,335.61,233.81,11283.71,3711.01,-4172.26,0.85,5040.8,5583.85,95,-0.81,0.24
,16668,90.8,332.13,233.81,11282.05,3796.28,-4214.09,3.69,5135.62,5671.88,95,-0.42,-3.66
,16763,90.55,332.66,233.81,11280.93,3880.46,-4258.1,0.62,5230.29,5761.02,95,-0.26,0.56
,16857,90.52,333.11,233.81,11280.05,3964.12,-4300.95,0.48,5324.02,5849.14,94,-0.03,0.48
,16952,90.49,335.33,236.52,11279.21,4049.66,-4342.26,2.34,5418.89,5937.59,95,-0.03,2.34
,17047,90.52,335.94,236.52,11278.38,4136.19,-4381.45,0.64,5513.86,6025.38,95,0.03,0.64
,17142,90.52,339.85,236.52,11277.51,4224.19,-4417.19,4.12,5608.82,6111.9,95,0,4.12
,17237,90.52,339.19,236.52,11276.65,4313.18,-4450.43,0.69,5703.74,6197.57,95,0,-0.69
,17332,90.37,341.25,239.22,11275.91,4402.57,-4482.57,2.17,5798.59,6283,95,-0.16,2.17
,17427,90.55,340.01,239.22,11275.15,4492.19,-4514.08,1.32,5893.41,6368.41,95,0.19,-1.31
,17522,90.52,339.78,236.52,11274.26,4581.39,-4546.73,0.24,5988.29,6454.61,95,-0.03,-0.24
,17616,90.37,340.18,239.22,11273.53,4669.71,-4578.91,0.45,6082.18,6540.08,94,-0.16,0.43
